Price,Pid,Property_name,Address
"2,500,000 / year",F4102,3 bedroom Flat / Apartment for rent Osapa G.r.a Osapa london Lekki Lagos,"Osapa G.r.a, behind shoprite,Jakande Osapa G.r.a Osapa London Lekki Lagos"
"8,000,000 / year",F1527,3 bedroom Duplex for rent banana island Banana Island Ikoyi Lagos,Sokoto road banana island Banana Island Ikoyi Lagos
"1,000,000 / year",F3575,3 bedroom Flat / Apartment for rent Lekki conservation area chevron Lekki Lagos,"Olusesan street, oluborugo beside lekki conservation center Lekki conservation area Chevron Lekki Lagos"
"5,500,000",H1895,3 bedroom Flat / Apartment for rent Oniru Lekki Phase 1 Lekki Lagos,Oniru Oniru Lekki Phase 1 Lekki Lagos
"3,200,000 / year",H1894,2 bedroom Flat / Apartment for rent Victoria Island Extension Victoria Island Lagos,oniru Victoria Island Extension Victoria Island Lagos
"45,000 / sqm","180,200,H1891",Commercial Property for rent Awolowo Road Ikoyi Lagos,Falomo Awolowo Road Ikoyi Lagos
"90,000 / sqm",H1890,600.0 square meter Office Space for rent Victoria Island Extension Victoria Island Lagos,oniru Victoria Island Extension Victoria Island Lagos
"1,200,000",H1889,2 bedroom Flat / Apartment for rent owode Ado Ajah Lagos,Langbasa owode Ado Ajah Lagos
"1,000,000 / year",D4408,3 bedroom Flat / Apartment for rent Egbeda Alimosho Lagos,Gowon estate Egbeda Alimosho Lagos
"20,000,000 / year",H1601,3 bedroom Flat / Apartment for rent Banana Island Ikoyi Lagos,Banana Island Banana Island Ikoyi Lagos
"260,000 / year",H1887,3 bedroom Flat / Apartment for rent Ipaja road Ipaja Lagos,"igando, Lagos Ipaja Road Ipaja Lagos"
"350,000 / year",G6953,1 bedroom mini flat Flat / Apartment for rent Akoka Yaba Lagos,Off Pako Bus stop Akoka Yaba Lagos
500 / sqm,H1885,1 bedroom mini flat Office Space for rent Victoria Island Ligali Ayorinde Victoria Island Lagos,Victoria Island Victoria Island Ligali Ayorinde Victoria Island Lagos
"1,300,000",H1883,5 bedroom Duplex for rent Thomas estate Ajah Lagos,thomas estate Thomas Estate Ajah Lagos
"1,000,000",B3903,3 bedroom Flat / Apartment for rent Yaba Yaba Lagos,Alagomeji Area Yaba Yaba Lagos
"900,000",C3388,4 bedroom Flat / Apartment for rent Yaba Yaba Lagos,"Akoka, Yaba Yaba Lagos"
"300,000 / year",H1881,2 bedroom Flat / Apartment for rent Ayobo Ipaja Lagos,command Ipaja. Ayobo Ipaja Lagos
"380,000 / year",H1879,3 bedroom Flat / Apartment for rent Ipaja road Ipaja Lagos,Abule Egba Lagos Ipaja Road Ipaja Lagos
800 / sqm,H1878,1 bedroom mini flat Office Space for rent Victoria Island Ligali Ayorinde Victoria Island Lagos,Victoria Island Victoria Island Ligali Ayorinde Victoria Island Lagos
"1,200,000 / year",E9102,3 bedroom Flat / Apartment for rent Ajao Estate Isolo Lagos,"Fine finishing close, off Barrister Theodore Street, behind Richfield school Ajao Estate Isolo Lagos"
"250,000 / year",H1875,3 bedroom Flat / Apartment for rent Ipaja road Ipaja Lagos,Ayobo Ipaja Ipaja Road Ipaja Lagos
